"Reference.Area","year","variable","value"
"Perth and Kinross","2013","electricity-consumption",755.3
"Renfrewshire","2013","electricity-consumption",829.2
"Scottish Borders","2013","electricity-consumption",576.8
"Shetland Islands","2013","electricity-consumption",196.5
"South Ayrshire","2013","electricity-consumption",511.1
"South Lanarkshire","2013","electricity-consumption",1277
"Stirling","2013","electricity-consumption",488.9
"West Dunbartonshire","2013","electricity-consumption",349.5
"West Lothian","2013","electricity-consumption",863.7
"Aberdeen City","2014","electricity-consumption",1329.2
"Aberdeenshire","2014","electricity-consumption",1411.4
"Angus","2014","electricity-consumption",554.4
"Argyll and Bute","2014","electricity-consumption",559.8
"City of Edinburgh","2014","electricity-consumption",2303.3
"Clackmannanshire","2014","electricity-consumption",232.6
"Dundee City","2014","electricity-consumption",736.2
"East Ayrshire","2014","electricity-consumption",491.3
"East Dunbartonshire","2014","electricity-consumption",366.7
"East Lothian","2014","electricity-consumption",434.1
"East Renfrewshire","2014","electricity-consumption",255.2
"Eilean Siar","2014","electricity-consumption",162.2
"Falkirk","2014","electricity-consumption",616
"Glasgow City","2014","electricity-consumption",2836.4
"Inverclyde","2014","electricity-consumption",348.8
"Midlothian","2014","electricity-consumption",371.9
"Moray","2014","electricity-consumption",557.1
"North Ayrshire","2014","electricity-consumption",654.8
"North Lanarkshire","2014","electricity-consumption",1285.6
"Orkney Islands","2014","electricity-consumption",154.7
"Perth and Kinross","2014","electricity-consumption",819.3
"Renfrewshire","2014","electricity-consumption",675
"Scottish Borders","2014","electricity-consumption",601.5
"Shetland Islands","2014","electricity-consumption",191.3
"South Ayrshire","2014","electricity-consumption",541.5
"South Lanarkshire","2014","electricity-consumption",1307.7
"Stirling","2014","electricity-consumption",452.3
"West Dunbartonshire","2014","electricity-consumption",346
"West Lothian","2014","electricity-consumption",831.5
"Aberdeen City","2004","employment",106950
"Aberdeenshire","2004","employment",119000
"Angus","2004","employment",51225
"Argyll and Bute","2004","employment",41850
"City of Edinburgh","2004","employment",234825
"Clackmannanshire","2004","employment",22100
"Dumfries and Galloway","2004","employment",70800
"Dundee City","2004","employment",64450
"East Ayrshire","2004","employment",53475
"East Dunbartonshire","2004","employment",53200
"East Lothian","2004","employment",43925
"East Renfrewshire","2004","employment",43950
"Eilean Siar","2004","employment",12775
"Falkirk","2004","employment",72000
"Fife","2004","employment",175500
"Glasgow City","2004","employment",250225
"Highland","2004","employment",109925
"Inverclyde","2004","employment",35800
"Midlothian","2004","employment",40550
"Moray","2004","employment",41850
"North Ayrshire","2004","employment",59400
"North Lanarkshire","2004","employment",146950
"Orkney Islands","2004","employment",10350
"Perth and Kinross","2004","employment",65725
"Renfrewshire","2004","employment",81450
"Scottish Borders","2004","employment",53100
"Shetland Islands","2004","employment",11875
"South Ayrshire","2004","employment",50475
"South Lanarkshire","2004","employment",145900
"Stirling","2004","employment",41825
"West Dunbartonshire","2004","employment",41425
"West Lothian","2004","employment",84100
"Aberdeen City","2005","employment",110750
"Aberdeenshire","2005","employment",121575
"Angus","2005","employment",52500
"Argyll and Bute","2005","employment",42425
"City of Edinburgh","2005","employment",243225
"Clackmannanshire","2005","employment",21850
"Dumfries and Galloway","2005","employment",71600
"Dundee City","2005","employment",64950
"East Ayrshire","2005","employment",53250
"East Dunbartonshire","2005","employment",54425
"East Lothian","2005","employment",44825
"East Renfrewshire","2005","employment",43775
"Eilean Siar","2005","employment",13175
"Falkirk","2005","employment",73025
"Fife","2005","employment",176125
"Glasgow City","2005","employment",250050
"Highland","2005","employment",107725
"Inverclyde","2005","employment",36375
"Midlothian","2005","employment",40050
"Moray","2005","employment",42250
"North Ayrshire","2005","employment",60000
"North Lanarkshire","2005","employment",148775
"Orkney Islands","2005","employment",10600
"Perth and Kinross","2005","employment",66525
"Renfrewshire","2005","employment",82325
"Scottish Borders","2005","employment",52550
"Shetland Islands","2005","employment",11875
"South Ayrshire","2005","employment",50775
"South Lanarkshire","2005","employment",146300
"Stirling","2005","employment",41925
"West Dunbartonshire","2005","employment",42050
"West Lothian","2005","employment",82625
"Aberdeen City","2006","employment",115200
"Aberdeenshire","2006","employment",126600
"Angus","2006","employment",54075
"Argyll and Bute","2006","employment",43875
"City of Edinburgh","2006","employment",244625
"Clackmannanshire","2006","employment",22450
"Dumfries and Galloway","2006","employment",70600
"Dundee City","2006","employment",66350
"East Ayrshire","2006","employment",54550
"East Dunbartonshire","2006","employment",53500
"East Lothian","2006","employment",45250
"East Renfrewshire","2006","employment",43325
"Eilean Siar","2006","employment",13000
"Falkirk","2006","employment",75150
"Fife","2006","employment",174600
"Glasgow City","2006","employment",259475
"Highland","2006","employment",110750
"Inverclyde","2006","employment",36975
"Midlothian","2006","employment",40150
"Moray","2006","employment",42700
"North Ayrshire","2006","employment",60550
"North Lanarkshire","2006","employment",153150
"Orkney Islands","2006","employment",10400
"Perth and Kinross","2006","employment",69200
"Renfrewshire","2006","employment",83350
"Scottish Borders","2006","employment",54425
"Shetland Islands","2006","employment",12100
"South Ayrshire","2006","employment",51850
"South Lanarkshire","2006","employment",153275
"Stirling","2006","employment",42350
"West Dunbartonshire","2006","employment",43425
"West Lothian","2006","employment",84950
"Aberdeen City","2007","employment",114025
"Aberdeenshire","2007","employment",127650
"Angus","2007","employment",53525
"Argyll and Bute","2007","employment",43250
"City of Edinburgh","2007","employment",250400
"Clackmannanshire","2007","employment",22275
"Dumfries and Galloway","2007","employment",71200
"Dundee City","2007","employment",66400
"East Ayrshire","2007","employment",55975
"East Dunbartonshire","2007","employment",51250
"East Lothian","2007","employment",46550
"East Renfrewshire","2007","employment",42825
"Eilean Siar","2007","employment",12925
"Falkirk","2007","employment",75275
"Fife","2007","employment",176325
"Glasgow City","2007","employment",269375
"Highland","2007","employment",113325
"Inverclyde","2007","employment",37050
"Midlothian","2007","employment",41175
"Moray","2007","employment",44150
"North Ayrshire","2007","employment",59425
"North Lanarkshire","2007","employment",151700
"Orkney Islands","2007","employment",10875
"Perth and Kinross","2007","employment",69650
"Renfrewshire","2007","employment",82825
"Scottish Borders","2007","employment",55900
"Shetland Islands","2007","employment",12350
"South Ayrshire","2007","employment",52025
"South Lanarkshire","2007","employment",155400
"Stirling","2007","employment",43000
"West Dunbartonshire","2007","employment",43350
"West Lothian","2007","employment",86375
"Aberdeen City","2008","employment",116325
"Aberdeenshire","2008","employment",128950
"Angus","2008","employment",53425
"Argyll and Bute","2008","employment",41300
"City of Edinburgh","2008","employment",253725
"Clackmannanshire","2008","employment",22350
"Dumfries and Galloway","2008","employment",69475
"Dundee City","2008","employment",65225
"East Ayrshire","2008","employment",55350
"East Dunbartonshire","2008","employment",49925
"East Lothian","2008","employment",47125
"East Renfrewshire","2008","employment",41875
"Eilean Siar","2008","employment",12650
"Falkirk","2008","employment",73725
"Fife","2008","employment",173300
"Glasgow City","2008","employment",265725
"Highland","2008","employment",112975
"Inverclyde","2008","employment",36225
"Midlothian","2008","employment",40300
"Moray","2008","employment",45025
"North Ayrshire","2008","employment",58925
"North Lanarkshire","2008","employment",151800
"Orkney Islands","2008","employment",10850
"Perth and Kinross","2008","employment",70825
"Renfrewshire","2008","employment",81975
"Scottish Borders","2008","employment",55075
"Shetland Islands","2008","employment",12275
"South Ayrshire","2008","employment",51075
"South Lanarkshire","2008","employment",150850
"Stirling","2008","employment",42850
"West Dunbartonshire","2008","employment",41450
"West Lothian","2008","employment",85575
"Aberdeen City","2009","employment",119125
"Aberdeenshire","2009","employment",129775
"Angus","2009","employment",51100
"Argyll and Bute","2009","employment",40875
"City of Edinburgh","2009","employment",241550
"Clackmannanshire","2009","employment",23750
"Dumfries and Galloway","2009","employment",68850
"Dundee City","2009","employment",66075
"East Ayrshire","2009","employment",54100
"East Dunbartonshire","2009","employment",50150
"East Lothian","2009","employment",45900
"East Renfrewshire","2009","employment",40925
"Eilean Siar","2009","employment",11700
"Falkirk","2009","employment",73100
"Fife","2009","employment",171075
"Glasgow City","2009","employment",255750
"Highland","2009","employment",115300
"Inverclyde","2009","employment",35900
"Midlothian","2009","employment",39500
"Moray","2009","employment",44275
"North Ayrshire","2009","employment",56175
"North Lanarkshire","2009","employment",152150
"Orkney Islands","2009","employment",11075
"Perth and Kinross","2009","employment",68800
"Renfrewshire","2009","employment",78675
"Scottish Borders","2009","employment",52150
"Shetland Islands","2009","employment",12325
"South Ayrshire","2009","employment",49150
"South Lanarkshire","2009","employment",148100
"Stirling","2009","employment",41600
"West Dunbartonshire","2009","employment",40450
"West Lothian","2009","employment",83425
"Aberdeen City","2010","employment",117000
"Aberdeenshire","2010","employment",131125
"Angus","2010","employment",50625
"Argyll and Bute","2010","employment",40375
"City of Edinburgh","2010","employment",247850
"Clackmannanshire","2010","employment",24325
"Dumfries and Galloway","2010","employment",65950
"Dundee City","2010","employment",67225
"East Ayrshire","2010","employment",54125
"East Dunbartonshire","2010","employment",48800
"East Lothian","2010","employment",45375
"East Renfrewshire","2010","employment",41575
"Eilean Siar","2010","employment",10975
"Falkirk","2010","employment",73075
"Fife","2010","employment",171050
"Glasgow City","2010","employment",259600
"Highland","2010","employment",113425
"Inverclyde","2010","employment",36325
"Midlothian","2010","employment",39050
"Moray","2010","employment",44200
"North Ayrshire","2010","employment",54575
"North Lanarkshire","2010","employment",148275
"Orkney Islands","2010","employment",10350
"Perth and Kinross","2010","employment",70700
"Renfrewshire","2010","employment",75525
"Scottish Borders","2010","employment",52375
"Shetland Islands","2010","employment",12475
"South Ayrshire","2010","employment",47800
"South Lanarkshire","2010","employment",148350
"Stirling","2010","employment",40500
"West Dunbartonshire","2010","employment",40650
"West Lothian","2010","employment",84375
"Aberdeen City","2011","employment",117500
"Aberdeenshire","2011","employment",130900
"Angus","2011","employment",50400
"Argyll and Bute","2011","employment",38700
"City of Edinburgh","2011","employment",251100
"Clackmannanshire","2011","employment",21600
"Dumfries and Galloway","2011","employment",63500
"Dundee City","2011","employment",65700
"East Ayrshire","2011","employment",52600
"East Dunbartonshire","2011","employment",49400
"East Lothian","2011","employment",45800
"East Renfrewshire","2011","employment",42000
"Eilean Siar","2011","employment",10700
"Falkirk","2011","employment",72000
"Fife","2011","employment",168500
"Glasgow City","2011","employment",266600
"Highland","2011","employment",113700
"Inverclyde","2011","employment",34900
"Midlothian","2011","employment",39500
"Moray","2011","employment",43800
"North Ayrshire","2011","employment",53400
"North Lanarkshire","2011","employment",147400
"Orkney Islands","2011","employment",10500
"Perth and Kinross","2011","employment",71400
"Renfrewshire","2011","employment",75800
"Scottish Borders","2011","employment",52600
"Shetland Islands","2011","employment",12200
"South Ayrshire","2011","employment",46700
"South Lanarkshire","2011","employment",149300
"Stirling","2011","employment",42000
"West Dunbartonshire","2011","employment",40600
"West Lothian","2011","employment",83000
"Aberdeen City","2001","population",211910
"Aberdeenshire","2001","population",226940
"Angus","2001","population",108370
"Argyll and Bute","2001","population",77365.5
"City of Edinburgh","2001","population",449020
"Clackmannanshire","2001","population",48070
"Dumfries and Galloway","2001","population",147780
"Dundee City","2001","population",145460
"East Ayrshire","2001","population",120310
"East Dunbartonshire","2001","population",108250
"East Lothian","2001","population",78495.5
"East Renfrewshire","2001","population",89410
"Eilean Siar","2001","population",26450
"Falkirk","2001","population",145270
"Fife","2001","population",349770
"Glasgow City","2001","population",578710
"Highland","2001","population",130681.25
"Inverclyde","2001","population",84150
"Midlothian","2001","population",80950
"Moray","2001","population",80014
"North Ayrshire","2001","population",135820
"North Lanarkshire","2001","population",321180
"Orkney Islands","2001","population",19220
"Perth and Kinross","2001","population",134950
"Renfrewshire","2001","population",172850
"Scottish Borders","2001","population",106950
"Shetland Islands","2001","population",21960
"South Ayrshire","2001","population",112160
"South Lanarkshire","2001","population",302340
"Stirling","2001","population",78306
"West Dunbartonshire","2001","population",93320
"West Lothian","2001","population",159030
"Aberdeen City","2002","population",210680
"Aberdeenshire","2002","population",228830
"Angus","2002","population",108810
"Argyll and Bute","2002","population",77003
"City of Edinburgh","2002","population",447490
"Clackmannanshire","2002","population",48140
"Dumfries and Galloway","2002","population",147670
"Dundee City","2002","population",144370
"East Ayrshire","2002","population",119920
"East Dunbartonshire","2002","population",107350
"East Lothian","2002","population",79323
"East Renfrewshire","2002","population",89930
"Eilean Siar","2002","population",26350
"Falkirk","2002","population",145930
"Fife","2002","population",350740
"Glasgow City","2002","population",576450
"Highland","2002","population",131004.25
"Inverclyde","2002","population",83730
"Midlothian","2002","population",80870
"Moray","2002","population",80706.5
"North Ayrshire","2002","population",135890
"North Lanarkshire","2002","population",322520
"Orkney Islands","2002","population",19340
"Perth and Kinross","2002","population",135130
"Renfrewshire","2002","population",172300
"Scottish Borders","2002","population",107530
"Shetland Islands","2002","population",22000
"South Ayrshire","2002","population",111690
"South Lanarkshire","2002","population",302780
"Stirling","2002","population",78422
"West Dunbartonshire","2002","population",93040
"West Lothian","2002","population",160370
"Aberdeen City","2003","population",209280
"Aberdeenshire","2003","population",231250
"Angus","2003","population",108710
"Argyll and Bute","2003","population",77000
"City of Edinburgh","2003","population",445290
"Clackmannanshire","2003","population",48140
"Dumfries and Galloway","2003","population",147860
"Dundee City","2003","population",144070
"East Ayrshire","2003","population",119860
"East Dunbartonshire","2003","population",107000
"East Lothian","2003","population",79971
"East Renfrewshire","2003","population",89870
"Eilean Siar","2003","population",26430
"Falkirk","2003","population",146800
"Fife","2003","population",351350
"Glasgow City","2003","population",572260
"Highland","2003","population",131895
"Inverclyde","2003","population",83300
"Midlothian","2003","population",80280
"Moray","2003","population",81764
"North Ayrshire","2003","population",136310
"North Lanarkshire","2003","population",323700
"Orkney Islands","2003","population",19540
"Perth and Kinross","2003","population",135960
"Renfrewshire","2003","population",171560
"Scottish Borders","2003","population",108400
"Shetland Islands","2003","population",21960
"South Ayrshire","2003","population",111550
"South Lanarkshire","2003","population",303480
"Stirling","2003","population",78542.5
"West Dunbartonshire","2003","population",92470
"West Lothian","2003","population",161690
"Aberdeen City","2004","population",207820
"Aberdeenshire","2004","population",234690
"Angus","2004","population",110170
"Argyll and Bute","2004","population",77011
"City of Edinburgh","2004","population",445870
"Clackmannanshire","2004","population",48670
"Dumfries and Galloway","2004","population",148690
"Dundee City","2004","population",143100
"East Ayrshire","2004","population",120210
"East Dunbartonshire","2004","population",106540
"East Lothian","2004","population",80525
"East Renfrewshire","2004","population",89790
"Eilean Siar","2004","population",26650
"Falkirk","2004","population",148300
"Fife","2004","population",353050
"Glasgow City","2004","population",569560
"Highland","2004","population",133306.25
"Inverclyde","2004","population",82690
"Midlothian","2004","population",80230
"Moray","2004","population",82182.5
"North Ayrshire","2004","population",136500
"North Lanarkshire","2004","population",325400
"Orkney Islands","2004","population",19830
"Perth and Kinross","2004","population",136900
"Renfrewshire","2004","population",171470
"Scottish Borders","2004","population",109460
"Shetland Islands","2004","population",22090
"South Ayrshire","2004","population",111840
"South Lanarkshire","2004","population",305670
"Stirling","2004","population",78755.5
"West Dunbartonshire","2004","population",91970
"West Lothian","2004","population",163540
"Aberdeen City","2005","population",208690
"Aberdeenshire","2005","population",237570
"Angus","2005","population",111340
"Argyll and Bute","2005","population",76919
"City of Edinburgh","2005","population",449480
"Clackmannanshire","2005","population",49160
"Dumfries and Galloway","2005","population",149620
"Dundee City","2005","population",143600
"East Ayrshire","2005","population",120280
"East Dunbartonshire","2005","population",106040
"East Lothian","2005","population",81154
"East Renfrewshire","2005","population",89880
"Eilean Siar","2005","population",26930
"Falkirk","2005","population",150130
"Fife","2005","population",355450
"Glasgow City","2005","population",569240
"Highland","2005","population",135025
"Inverclyde","2005","population",82680
"Midlothian","2005","population",80050
"Moray","2005","population",82853
"North Ayrshire","2005","population",136690
"North Lanarkshire","2005","population",327140
"Orkney Islands","2005","population",20070
"Perth and Kinross","2005","population",138060
"Renfrewshire","2005","population",171430
"Scottish Borders","2005","population",110250
"Shetland Islands","2005","population",22250
"South Ayrshire","2005","population",112030
"South Lanarkshire","2005","population",306850
"Stirling","2005","population",79200.5
"West Dunbartonshire","2005","population",91530
"West Lothian","2005","population",165010
"Aberdeen City","2006","population",209620
"Aberdeenshire","2006","population",241180
"Angus","2006","population",112500
"Argyll and Bute","2006","population",77179.5
"City of Edinburgh","2006","population",452060
"Clackmannanshire","2006","population",49540
"Dumfries and Galloway","2006","population",149780
"Dundee City","2006","population",143370
"East Ayrshire","2006","population",120450
"East Dunbartonshire","2006","population",105590
"East Lothian","2006","population",82259.5
"East Renfrewshire","2006","population",89750
"Eilean Siar","2006","population",27060
"Falkirk","2006","population",151090
"Fife","2006","population",357260
"Glasgow City","2006","population",568480
"Highland","2006","population",136516.75
"Inverclyde","2006","population",82320
"Midlothian","2006","population",80000
"Moray","2006","population",83482.5
"North Ayrshire","2006","population",136790
"North Lanarkshire","2006","population",328740
"Orkney Islands","2006","population",20340
"Perth and Kinross","2006","population",139390
"Renfrewshire","2006","population",171270
"Scottish Borders","2006","population",110860
"Shetland Islands","2006","population",22210
"South Ayrshire","2006","population",112100
"South Lanarkshire","2006","population",308450
"Stirling","2006","population",79709.5
"West Dunbartonshire","2006","population",91420
"West Lothian","2006","population",167110
"Aberdeen City","2007","population",212460
"Aberdeenshire","2007","population",244390
"Angus","2007","population",113540
"Argyll and Bute","2007","population",77171
"City of Edinburgh","2007","population",456040
"Clackmannanshire","2007","population",50600
"Dumfries and Galloway","2007","population",150370
"Dundee City","2007","population",143700
"East Ayrshire","2007","population",120950
"East Dunbartonshire","2007","population",105050
"East Lothian","2007","population",83881.5
"East Renfrewshire","2007","population",89840
"Eilean Siar","2007","population",27210
"Falkirk","2007","population",152320
"Fife","2007","population",358750
"Glasgow City","2007","population",571760
"Highland","2007","population",138113
"Inverclyde","2007","population",82110
"Midlothian","2007","population",80370
"Moray","2007","population",84186
"North Ayrshire","2007","population",137420
"North Lanarkshire","2007","population",331170
"Orkney Islands","2007","population",20580
"Perth and Kinross","2007","population",141140
"Renfrewshire","2007","population",171860
"Scottish Borders","2007","population",112200
"Shetland Islands","2007","population",22350
"South Ayrshire","2007","population",112380
"South Lanarkshire","2007","population",310380
"Stirling","2007","population",79969
"West Dunbartonshire","2007","population",91370
"West Lothian","2007","population",169470
"Aberdeen City","2008","population",214020
"Aberdeenshire","2008","population",246840
"Angus","2008","population",114490
"Argyll and Bute","2008","population",76568.5
"City of Edinburgh","2008","population",458520
"Clackmannanshire","2008","population",51190
"Dumfries and Galloway","2008","population",151010
"Dundee City","2008","population",144290
"East Ayrshire","2008","population",121590
"East Dunbartonshire","2008","population",104940
"East Lothian","2008","population",85363.5
"East Renfrewshire","2008","population",89870
"Eilean Siar","2008","population",27280
"Falkirk","2008","population",153290
"Fife","2008","population",360050
"Glasgow City","2008","population",576200
"Highland","2008","population",139415.75
"Inverclyde","2008","population",82000
"Midlothian","2008","population",81540
"Moray","2008","population",85593.5
"North Ayrshire","2008","population",137910
"North Lanarkshire","2008","population",333290
"Orkney Islands","2008","population",20740
